Ensembl	symbol	WikiPathways
ENSG00000072210	ALDH3A2	Tryptophan metabolism:WP465
ENSG00000111530	CAND1	Endoderm Differentiation:WP2853
ENSG00000154229	PRKCA	Wnt Signaling Pathway and Pluripotency:WP399
ENSG00000084674	APOB	Vitamin B12 Metabolism:WP1533
ENSG00000110047	EHD1	Insulin Signaling:WP481
ENSG00000197879	MYO1C	Insulin Signaling:WP481
ENSG00000154229	PRKCA	Insulin Signaling:WP481
ENSG00000103496	STX4	Insulin Signaling:WP481
ENSG00000152556	PFKM	Insulin Signaling:WP481
ENSG00000116266	STXBP3	Insulin Signaling:WP481
ENSG00000174437	ATP2A2	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000157445	CACNA2D3	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000170348	TMED10	mRNA Processing:WP411
ENSG00000067225	PKM	Glycolysis and Gluconeogenesis:WP534
ENSG00000111716	LDHB	Glycolysis and Gluconeogenesis:WP534
ENSG00000152556	PFKM	Glycolysis and Gluconeogenesis:WP534
ENSG00000102144	PGK1	Glycolysis and Gluconeogenesis:WP534
ENSG00000092964	DPYSL2	BDNF signaling pathway:WP2380
ENSG00000259207	ITGB3	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000100345	MYH9	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000026025	VIM	Primary Focal Segmental Glomerulosclerosis FSGS:WP2572
ENSG00000090013	BLVRB	NRF2 pathway:WP2884
ENSG00000198848	CES1	NRF2 pathway:WP2884
ENSG00000146648	EGFR	Aryl Hydrocarbon Receptor:WP2586
ENSG00000169764	UGP2	Glucuronidation:WP698
ENSG00000146648	EGFR	Arylhydrocarbon receptor (AhR) signaling pathway:WP2100
ENSG00000146648	EGFR	Extracellular vesicle-mediated signaling in recipient cells:WP2870
ENSG00000146648	EGFR	Signaling Pathways in Glioblastoma:WP2261
ENSG00000154229	PRKCA	Signaling Pathways in Glioblastoma:WP2261
ENSG00000169764	UGP2	Glycogen Metabolism:WP500
ENSG00000100504	PYGL	Glycogen Metabolism:WP500
ENSG00000171564	FGB	Blood Clotting Cascade:WP272
ENSG00000171560	FGA	Blood Clotting Cascade:WP272
ENSG00000171557	FGG	Blood Clotting Cascade:WP272
ENSG00000044574	HSPA5	Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864
ENSG00000026025	VIM	Apoptosis-related network due to altered Notch3 in ovarian cancer:WP2864
ENSG00000101444	AHCY	One Carbon Metabolism:WP241
ENSG00000092964	DPYSL2	Regulation of Microtubule Cytoskeleton:WP2038
ENSG00000154229	PRKCA	Regulation of Microtubule Cytoskeleton:WP2038
ENSG00000132670	PTPRA	Regulation of Microtubule Cytoskeleton:WP2038
ENSG00000081237	PTPRC	B Cell Receptor Signaling Pathway:WP23
ENSG00000198848	CES1	Fluoropyrimidine Activity:WP1601
ENSG00000100983	GSS	Glutathione metabolism:WP100
ENSG00000198848	CES1	Irinotecan Pathway:WP229
ENSG00000026025	VIM	Striated Muscle Contraction:WP383
ENSG00000146648	EGFR	Focal Adhesion:WP306
ENSG00000092841	MYL6	Focal Adhesion:WP306
