Ensembl	symbol	WikiPathways
ENSG00000152661	GJA1	TarBasePathway:WP1992
ENSG00000205542	TMSB4X	TarBasePathway:WP1992
ENSG00000189221	MAOA	Biogenic Amine Synthesis:WP550
ENSG00000168610	STAT3	IL-5 Signaling Pathway:WP127
ENSG00000186868	MAPT	IL-5 Signaling Pathway:WP127
ENSG00000168610	STAT3	IL-4 Signaling Pathway:WP395
ENSG00000196924	FLNA	IL-4 Signaling Pathway:WP395
ENSG00000090339	ICAM1	Vitamin B12 Metabolism:WP1533
ENSG00000198793	MTOR	Insulin Signaling:WP481
ENSG00000092531	SNAP23	Insulin Signaling:WP481
ENSG00000024422	EHD2	Insulin Signaling:WP481
ENSG00000163754	GYG1	Insulin Signaling:WP481
ENSG00000168118	RAB4A	Insulin Signaling:WP481
ENSG00000071242	RPS6KA2	Insulin Signaling:WP481
ENSG00000132589	FLOT2	Insulin Signaling:WP481
ENSG00000100412	ACO2	TCA Cycle:WP78
ENSG00000119689	DLST	TCA Cycle:WP78
ENSG00000182054	IDH2	TCA Cycle:WP78
ENSG00000073578	SDHA	TCA Cycle:WP78
ENSG00000166411	IDH3A	TCA Cycle:WP78
ENSG00000091140	DLD	TCA Cycle:WP78
ENSG00000117118	SDHB	TCA Cycle:WP78
ENSG00000062485	CS	TCA Cycle:WP78
ENSG00000101365	IDH3B	TCA Cycle:WP78
ENSG00000105953	OGDH	TCA Cycle:WP78
ENSG00000082781	ITGB5	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000152661	GJA1	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000138448	ITGAV	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000044115	CTNNA1	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000005884	ITGA3	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000150093	ITGB1	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000091409	ITGA6	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000161638	ITGA5	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000135424	ITGA7	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000164171	ITGA2	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000170558	CDH2	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
ENSG00000173402	DAG1	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412:WP2118
