Ensembl	symbol	KEGG
ENSG00000104763	ASAH1	Sphingolipid metabolism:KEGG-hsa00600
ENSG00000105409	ATP1A3	Pancreatic secretion:KEGG-hsa04972
ENSG00000143153	ATP1B1	Pancreatic secretion:KEGG-hsa04972
ENSG00000109743	BST1	Pancreatic secretion:KEGG-hsa04972
ENSG00000127314	RAP1B	Pancreatic secretion:KEGG-hsa04972
ENSG00000163399	ATP1A1	Pancreatic secretion:KEGG-hsa04972
ENSG00000069849	ATP1B3	Pancreatic secretion:KEGG-hsa04972
ENSG00000004468	CD38	Pancreatic secretion:KEGG-hsa04972
ENSG00000087460	GNAS	Pancreatic secretion:KEGG-hsa04972
ENSG00000197894	ADH5	Retinol metabolism:KEGG-hsa00830
ENSG00000106028	SSBP1	Mismatch repair:KEGG-hsa03430
ENSG00000166333	ILK	Endometrial cancer:KEGG-hsa05213
ENSG00000044115	CTNNA1	Endometrial cancer:KEGG-hsa05213
ENSG00000169100	SLC25A6	Huntington's disease:KEGG-hsa05016
ENSG00000023228	NDUFS1	Huntington's disease:KEGG-hsa05016
ENSG00000147684	NDUFB9	Huntington's disease:KEGG-hsa05016
ENSG00000213585	VDAC1	Huntington's disease:KEGG-hsa05016
ENSG00000126267	COX6B1	Huntington's disease:KEGG-hsa05016
ENSG00000130414	NDUFA10	Huntington's disease:KEGG-hsa05016
ENSG00000131143	COX4I1	Huntington's disease:KEGG-hsa05016
ENSG00000178741	COX5A	Huntington's disease:KEGG-hsa05016
ENSG00000158864	NDUFS2	Huntington's disease:KEGG-hsa05016
ENSG00000073578	SDHA	Huntington's disease:KEGG-hsa05016
ENSG00000156467	UQCRB	Huntington's disease:KEGG-hsa05016
ENSG00000078668	VDAC3	Huntington's disease:KEGG-hsa05016
ENSG00000168653	NDUFS5	Huntington's disease:KEGG-hsa05016
ENSG00000117118	SDHB	Huntington's disease:KEGG-hsa05016
ENSG00000178127	NDUFV2	Huntington's disease:KEGG-hsa05016
ENSG00000140990	NDUFB10	Huntington's disease:KEGG-hsa05016
ENSG00000119421	NDUFA8	Huntington's disease:KEGG-hsa05016
ENSG00000010256	UQCRC1	Huntington's disease:KEGG-hsa05016
ENSG00000186010	NDUFA13	Huntington's disease:KEGG-hsa05016
ENSG00000005022	SLC25A5	Huntington's disease:KEGG-hsa05016
ENSG00000179091	CYC1	Huntington's disease:KEGG-hsa05016
ENSG00000213619	NDUFS3	Huntington's disease:KEGG-hsa05016
ENSG00000135940	COX5B	Huntington's disease:KEGG-hsa05016
ENSG00000169021	UQCRFS1	Huntington's disease:KEGG-hsa05016
ENSG00000172115	CYCS	Huntington's disease:KEGG-hsa05016
ENSG00000145494	NDUFS6	Huntington's disease:KEGG-hsa05016
ENSG00000167792	NDUFV1	Huntington's disease:KEGG-hsa05016
ENSG00000131495	NDUFA2	Huntington's disease:KEGG-hsa05016
ENSG00000165637	VDAC2	Huntington's disease:KEGG-hsa05016
ENSG00000139180	NDUFA9	Huntington's disease:KEGG-hsa05016
ENSG00000140740	UQCRC2	Huntington's disease:KEGG-hsa05016
ENSG00000128609	NDUFA5	Huntington's disease:KEGG-hsa05016
ENSG00000151729	SLC25A4	Huntington's disease:KEGG-hsa05016
ENSG00000198793	MTOR	Prostate cancer:KEGG-hsa05215
ENSG00000113721	PDGFRB	Prostate cancer:KEGG-hsa05215
ENSG00000068976	PYGM	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000079739	PGM1	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000171298	GAA	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000156515	HK1	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000143933	CALM2	Oocyte meiosis:KEGG-hsa04114
ENSG00000148660	CAMK2G	Oocyte meiosis:KEGG-hsa04114
ENSG00000071242	RPS6KA2	Oocyte meiosis:KEGG-hsa04114
ENSG00000138413	IDH1	Glutathione metabolism:KEGG-hsa00480
ENSG00000213366	GSTM2	Glutathione metabolism:KEGG-hsa00480
ENSG00000182054	IDH2	Glutathione metabolism:KEGG-hsa00480
ENSG00000134202	GSTM3	Glutathione metabolism:KEGG-hsa00480
ENSG00000002549	LAP3	Glutathione metabolism:KEGG-hsa00480
