Source Identifier	SystemCode	ME	NA
ENSG00000085563	ABCB1	grey	En
ENSG00000136754	ABI1	grey	En
ENSG00000099204	ABLIM1	grey	En
ENSG00000159842	ABR	grey	En
ENSG00000176244	ACBD7	grey	En
ENSG00000122729	ACO1	grey	En
ENSG00000159251	ACTC1	grey	En
ENSG00000184009	ACTG1	grey	En
ENSG00000072110	ACTN1	grey	En
ENSG00000138071	ACTR2	grey	En
ENSG00000119640	ACYP1	grey	En
ENSG00000170634	ACYP2	grey	En
ENSG00000008277	ADAM22	grey	En
ENSG00000078295	ADCY2	grey	En
ENSG00000087274	ADD1	grey	En
ENSG00000162688	AGL	grey	En
ENSG00000168710	AHCYL1	grey	En
ENSG00000158467	AHCYL2	grey	En
ENSG00000185567	AHNAK2	grey	En
ENSG00000117448	AKR1A1	grey	En
ENSG00000085662	AKR1B1	grey	En
ENSG00000116337	AMPD2	grey	En
ENSG00000140350	ANP32A	grey	En
ENSG00000197043	ANXA6	grey	En
ENSG00000100823	APEX1	grey	En
ENSG00000118137	APOA1	grey	En
NA	APOA1BP	grey	En
ENSG00000130203	APOE	grey	En
ENSG00000142192	APP	grey	En
ENSG00000168374	ARF4	grey	En
ENSG00000100852	ARHGAP5	grey	En
ENSG00000138175	ARL3	grey	En
ENSG00000143862	ARL8A	grey	En
ENSG00000163466	ARPC2	grey	En
ENSG00000111229	ARPC3	grey	En
ENSG00000136950	ARPC5L	grey	En
ENSG00000128989	ARPP19	grey	En
ENSG00000137486	ARRB1	grey	En
ENSG00000169093	ASMTL	grey	En
ENSG00000108381	ASPA	grey	En
ENSG00000162174	ASRGL1	grey	En
ENSG00000138363	ATIC	grey	En
ENSG00000177556	ATOX1	grey	En
ENSG00000018625	ATP1A2	grey	En
ENSG00000129244	ATP1B2	grey	En
ENSG00000054793	ATP9A	grey	En
ENSG00000130638	ATXN10	grey	En
ENSG00000129151	BBOX1	grey	En
ENSG00000132692	BCAN	grey	En
ENSG00000064787	BCAS1	grey	En
ENSG00000108578	BLMH	grey	En
ENSG00000106605	BLVRA	grey	En
ENSG00000162813	BPNT1	grey	En
ENSG00000254999	BRK1	grey	En
ENSG00000111801	BTN3A3	grey	En
ENSG00000133742	CA1	grey	En
ENSG00000104267	CA2	grey	En
ENSG00000153956	CACNA2D1	grey	En
ENSG00000007402	CACNA2D2	grey	En
ENSG00000104327	CALB1	grey	En
ENSG00000172137	CALB2	grey	En
ENSG00000178372	CALML5	grey	En
ENSG00000058404	CAMK2B	grey	En
ENSG00000145349	CAMK2D	grey	En
ENSG00000164076	CAMKV	grey	En
ENSG00000014216	CAPN1	grey	En
ENSG00000116489	CAPZA1	grey	En
ENSG00000077549	CAPZB	grey	En
NA	CARKD	grey	En
ENSG00000105141	CASP14	grey	En
ENSG00000153113	CAST	grey	En
ENSG00000159231	CBR3	grey	En
ENSG00000160200	CBS	grey	En
ENSG00000110651	CD81	grey	En
ENSG00000085117	CD82	grey	En
ENSG00000010278	CD9	grey	En
ENSG00000070831	CDC42	grey	En
ENSG00000165410	CFL2	grey	En
ENSG00000100604	CHGA	grey	En
ENSG00000089199	CHGB	grey	En
ENSG00000134121	CHL1	grey	En
ENSG00000187446	CHP1	grey	En
ENSG00000185043	CIB1	grey	En
ENSG00000166165	CKB	grey	En
ENSG00000236279	CLEC2L	grey	En
ENSG00000150656	CNDP1	grey	En
ENSG00000173786	CNP	grey	En
ENSG00000018236	CNTN1	grey	En
ENSG00000184144	CNTN2	grey	En
ENSG00000174469	CNTNAP2	grey	En
ENSG00000168275	COA6	grey	En
ENSG00000068120	COASY	grey	En
ENSG00000187498	COL4A1	grey	En
ENSG00000134871	COL4A2	grey	En
ENSG00000141030	COPS3	grey	En
ENSG00000172725	CORO1B	grey	En
ENSG00000214078	CPNE1	grey	En
ENSG00000100884	CPNE6	grey	En
ENSG00000167193	CRK	grey	En
ENSG00000095713	CRTAC1	grey	En
ENSG00000124207	CSE1L	grey	En
ENSG00000151292	CSNK1G3	grey	En
ENSG00000101266	CSNK2A1	grey	En
ENSG00000070770	CSNK2A2	grey	En
NA	CSNK2B-LY6G5B-1181	grey	En
ENSG00000101439	CST3	grey	En
ENSG00000160213	CSTB	grey	En
ENSG00000066032	CTNNA2	grey	En
ENSG00000168036	CTNNB1	grey	En
ENSG00000198561	CTNND1	grey	En
ENSG00000166394	CYB5R2	grey	En
ENSG00000100592	DAAM1	grey	En
NA	DAK	grey	En
ENSG00000161634	DCD	grey	En
ENSG00000099977	DDT	grey	En
ENSG00000198563	DDX39B	grey	En
ENSG00000278535	DHRS11	grey	En
ENSG00000066084	DIP2B	grey	En
ENSG00000198947	DMD	grey	En
ENSG00000086061	DNAJA1	grey	En
ENSG00000069345	DNAJA2	grey	En
ENSG00000254986	DPP3	grey	En
ENSG00000157851	DPYSL5	grey	En
ENSG00000134765	DSC1	grey	En
ENSG00000134760	DSG1	grey	En
ENSG00000096696	DSP	grey	En
ENSG00000151914	DST	grey	En
ENSG00000134769	DTNA	grey	En
ENSG00000077380	DYNC1I2	grey	En
ENSG00000135720	DYNC1LI2	grey	En
ENSG00000102189	EEA1	grey	En
ENSG00000114942	EEF1B2	grey	En
